tp,fp,fn,precision,recall,f1,n_event_windows,n_caught,event_recall,false_alarm_runs,latency_reports,latency_ms,duty_cycle,bandwidth_reduction,n_reports,has_events,rid,ch,method,variant,n_asserted
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Voltage.Va,Fixed margin,baseline,0
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Voltage.Va,Fixed margin,+dead-release only,0
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Voltage.Va,Fixed margin,+latch-timeout only,0
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Voltage.Va,Fixed margin,+both (recommendation 1),0
3,4,0,0.42857142857142855,1.0,0.6,1,1,1.0,0,0.0,0.0,0.3684210526315789,2.7142857142857144,19,True,7,Voltage.Vb,Fixed margin,baseline,9
3,4,0,0.42857142857142855,1.0,0.6,1,1,1.0,0,0.0,0.0,0.3684210526315789,2.7142857142857144,19,True,7,Voltage.Vb,Fixed margin,+dead-release only,7
3,4,0,0.42857142857142855,1.0,0.6,1,1,1.0,0,0.0,0.0,0.3684210526315789,2.7142857142857144,19,True,7,Voltage.Vb,Fixed margin,+latch-timeout only,9
3,4,0,0.42857142857142855,1.0,0.6,1,1,1.0,0,0.0,0.0,0.3684210526315789,2.7142857142857144,19,True,7,Voltage.Vb,Fixed margin,+both (recommendation 1),7
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Voltage.Vc,Fixed margin,baseline,0
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Voltage.Vc,Fixed margin,+dead-release only,0
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Voltage.Vc,Fixed margin,+latch-timeout only,0
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Voltage.Vc,Fixed margin,+both (recommendation 1),0
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Current.Ia,Fixed margin,baseline,0
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Current.Ia,Fixed margin,+dead-release only,0
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Current.Ia,Fixed margin,+latch-timeout only,0
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Current.Ia,Fixed margin,+both (recommendation 1),0
6,1,3,0.8571428571428571,0.6666666666666666,0.75,2,1,0.5,0,0.0,0.0,0.3684210526315789,2.7142857142857144,19,True,7,Current.Ib,Fixed margin,baseline,9
6,1,3,0.8571428571428571,0.6666666666666666,0.75,2,1,0.5,0,0.0,0.0,0.3684210526315789,2.7142857142857144,19,True,7,Current.Ib,Fixed margin,+dead-release only,7
6,1,3,0.8571428571428571,0.6666666666666666,0.75,2,1,0.5,0,0.0,0.0,0.3684210526315789,2.7142857142857144,19,True,7,Current.Ib,Fixed margin,+latch-timeout only,9
6,1,3,0.8571428571428571,0.6666666666666666,0.75,2,1,0.5,0,0.0,0.0,0.3684210526315789,2.7142857142857144,19,True,7,Current.Ib,Fixed margin,+both (recommendation 1),7
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Current.Ic,Fixed margin,baseline,0
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Current.Ic,Fixed margin,+dead-release only,0
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Current.Ic,Fixed margin,+latch-timeout only,0
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Current.Ic,Fixed margin,+both (recommendation 1),0
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Voltage.Va,Fixed margin,baseline,5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Voltage.Va,Fixed margin,+dead-release only,5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Voltage.Va,Fixed margin,+latch-timeout only,5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Voltage.Va,Fixed margin,+both (recommendation 1),5
3,1,0,0.75,1.0,0.8571428571428571,1,1,1.0,0,0.0,0.0,0.017094017094017096,58.49999999999999,234,True,45,Voltage.Vb,Fixed margin,baseline,4
3,1,0,0.75,1.0,0.8571428571428571,1,1,1.0,0,0.0,0.0,0.017094017094017096,58.49999999999999,234,True,45,Voltage.Vb,Fixed margin,+dead-release only,4
3,1,0,0.75,1.0,0.8571428571428571,1,1,1.0,0,0.0,0.0,0.017094017094017096,58.49999999999999,234,True,45,Voltage.Vb,Fixed margin,+latch-timeout only,4
3,1,0,0.75,1.0,0.8571428571428571,1,1,1.0,0,0.0,0.0,0.017094017094017096,58.49999999999999,234,True,45,Voltage.Vb,Fixed margin,+both (recommendation 1),4
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Voltage.Vc,Fixed margin,baseline,5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Voltage.Vc,Fixed margin,+dead-release only,5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Voltage.Vc,Fixed margin,+latch-timeout only,5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Voltage.Vc,Fixed margin,+both (recommendation 1),5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Current.Ia,Fixed margin,baseline,5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Current.Ia,Fixed margin,+dead-release only,5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Current.Ia,Fixed margin,+latch-timeout only,5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Current.Ia,Fixed margin,+both (recommendation 1),5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Current.Ib,Fixed margin,baseline,5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Current.Ib,Fixed margin,+dead-release only,5
